City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
703,Makat,KZ,79.88,clear sky,47.6469,53.3463,Umit
704,Tumaco,CO,82.4,scattered clouds,1.7986,-78.8156,Dafneruben
705,Kawardha,IN,75.6,overcast clouds,22.0167,81.25,STARiHOTELS Raipur Road kawardha
707,Gonbad-E Qabus,IR,79.43,broken clouds,37.25,55.1672,Samin Building
710,Lar,IN,84.4,broken clouds,26.2039,83.9717,Ovaiskarni ward Lar
711,Warri,NG,76.87,overcast clouds,5.5167,5.75,BON Hotel Delta
717,Negombo,LK,80.65,scattered clouds,7.2083,79.8358,Hotel Sunset Beach
720,Oistins,BB,75.29,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
725,Mashhad,IR,77.14,clear sky,36.297,59.6062,Khanye Sabz Hotel
728,Turayf,SA,86.25,clear sky,31.6725,38.6637,Turaif
729,Rocky Mountain House,CA,75.31,clear sky,52.3668,-114.9188,Walking Eagle Inn & Lodge
732,Sao Jose Da Coroa Grande,BR,78.12,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
